"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"France (FR)","21.03.2015 06:00 - 21.03.2015 07:00 (UTC)","222","n/e","n/e","2594","","280","n/e","n/e","n/e","","451","4977","1479","n/e","47409","n/e","n/e","142","288","n/e","1589"
"France (FR)","21.03.2015 07:00 - 21.03.2015 08:00 (UTC)","222","n/e","n/e","2736","","281","n/e","n/e","n/e","195","","5325","2522","n/e","47940","n/e","n/e","451","287","n/e","1744"
"France (FR)","21.03.2015 08:00 - 21.03.2015 09:00 (UTC)","222","n/e","n/e","2885","","280","n/e","n/e","n/e","807","","5660","2593","n/e","48245","n/e","n/e","832","289","n/e","1835"
"France (FR)","21.03.2015 09:00 - 21.03.2015 10:00 (UTC)","221","n/e","n/e","3163","","280","n/e","n/e","n/e","137","","5703","2252","n/e","48236","n/e","n/e","1054","289","n/e","2120"
"France (FR)","21.03.2015 10:00 - 21.03.2015 11:00 (UTC)","222","n/e","n/e","3183","","280","n/e","n/e","n/e","","232","5759","2054","n/e","48277","n/e","n/e","1250","287","n/e","2412"
"France (FR)","21.03.2015 11:00 - 21.03.2015 12:00 (UTC)","222","n/e","n/e","3195","","280","n/e","n/e","n/e","515","","5586","1994","n/e","48833","n/e","n/e","1356","285","n/e","2580"
"France (FR)","21.03.2015 12:00 - 21.03.2015 13:00 (UTC)","222","n/e","n/e","3174","","279","n/e","n/e","n/e","","101","5356","1922","n/e","48708","n/e","n/e","1391","285","n/e","2827"
"France (FR)","21.03.2015 13:00 - 21.03.2015 14:00 (UTC)","222","n/e","n/e","3185","","268","n/e","n/e","n/e","","1434","4725","1826","n/e","48518","n/e","n/e","1265","284","n/e","3157"
"France (FR)","21.03.2015 14:00 - 21.03.2015 15:00 (UTC)","222","n/e","n/e","3182","","268","n/e","n/e","n/e","","2685","4454","1171","n/e","48627","n/e","n/e","1068","287","n/e","3315"
"France (FR)","21.03.2015 15:00 - 21.03.2015 16:00 (UTC)","222","n/e","n/e","3161","","268","n/e","n/e","n/e","","2902","4475","1223","n/e","49206","n/e","n/e","734","288","n/e","3423"
"France (FR)","21.03.2015 16:00 - 21.03.2015 17:00 (UTC)","222","n/e","n/e","3244","","269","n/e","n/e","n/e","","2526","4728","1828","n/e","49555","n/e","n/e","345","286","n/e","3454"
"France (FR)","21.03.2015 17:00 - 21.03.2015 18:00 (UTC)","221","n/e","n/e","3227","","281","n/e","n/e","n/e","","1128","5264","1779","n/e","49348","n/e","n/e","96","278","n/e","3112"
"France (FR)","21.03.2015 18:00 - 21.03.2015 19:00 (UTC)","222","n/e","n/e","3316","","279","n/e","n/e","n/e","757","","5768","2955","n/e","49785","n/e","n/e","30","276","n/e","2930"
"France (FR)","21.03.2015 19:00 - 21.03.2015 20:00 (UTC)","222","n/e","n/e","3328","","280","n/e","n/e","n/e","1150","","5790","3023","n/e","49751","n/e","n/e","0","275","n/e","2981"
