"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Ireland (IE)","02.01.2022 11:00 - 02.01.2022 11:30 (UTC)","n/e","n/e","n/e","183","208","165","n/e","46","n/e","20","0","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2253"
"Ireland (IE)","02.01.2022 11:30 - 02.01.2022 12:00 (UTC)","n/e","n/e","n/e","184","207","165","n/e","46","n/e","20","0","156","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2373"
"Ireland (IE)","02.01.2022 12:00 - 02.01.2022 12:30 (UTC)","n/e","n/e","n/e","185","208","165","n/e","46","n/e","20","0","158","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2368"
"Ireland (IE)","02.01.2022 12:30 - 02.01.2022 13:00 (UTC)","n/e","n/e","n/e","187","210","164","n/e","46","n/e","20","0","158","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2438"
"Ireland (IE)","02.01.2022 13:00 - 02.01.2022 13:30 (UTC)","n/e","n/e","n/e","183","208","164","n/e","46","n/e","20","0","156","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2551"
"Ireland (IE)","02.01.2022 13:30 - 02.01.2022 14:00 (UTC)","n/e","n/e","n/e","184","207","165","n/e","46","n/e","20","0","156","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2517"
"Ireland (IE)","02.01.2022 14:00 - 02.01.2022 14:30 (UTC)","n/e","n/e","n/e","190","211","167","n/e","46","n/e","20","0","158","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2442"
"Ireland (IE)","02.01.2022 14:30 - 02.01.2022 15:00 (UTC)","n/e","n/e","n/e","184","208","165","n/e","46","n/e","20","0","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2617"
"Ireland (IE)","02.01.2022 15:00 - 02.01.2022 15:30 (UTC)","n/e","n/e","n/e","185","207","165","n/e","46","n/e","20","0","158","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2635"
"Ireland (IE)","02.01.2022 15:30 - 02.01.2022 16:00 (UTC)","n/e","n/e","n/e","187","206","165","n/e","46","n/e","20","0","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2658"
"Ireland (IE)","02.01.2022 16:00 - 02.01.2022 16:30 (UTC)","n/e","n/e","n/e","185","209","165","n/e","46","n/e","20","0","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2805"
"Ireland (IE)","02.01.2022 16:30 - 02.01.2022 17:00 (UTC)","n/e","n/e","n/e","193","210","168","n/e","46","n/e","24","0","159","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","3015"
"Ireland (IE)","02.01.2022 17:00 - 02.01.2022 17:30 (UTC)","n/e","n/e","n/e","187","210","165","n/e","73","n/e","60","0","158","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","3190"
"Ireland (IE)","02.01.2022 17:30 - 02.01.2022 18:00 (UTC)","n/e","n/e","n/e","238","215","175","n/e","92","n/e","64","0","158","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","3296"
"Ireland (IE)","02.01.2022 18:00 - 02.01.2022 18:30 (UTC)","n/e","n/e","n/e","251","212","171","n/e","101","n/e","23","0","158","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","3270"
"Ireland (IE)","02.01.2022 18:30 - 02.01.2022 19:00 (UTC)","n/e","n/e","n/e","189","209","164","n/e","65","n/e","20","0","156","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","3094"
"Ireland (IE)","02.01.2022 19:00 - 02.01.2022 19:30 (UTC)","n/e","n/e","n/e","194","211","169","n/e","46","n/e","21","0","158","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2958"
"Ireland (IE)","02.01.2022 19:30 - 02.01.2022 20:00 (UTC)","n/e","n/e","n/e","187","207","165","n/e","46","n/e","20","0","156","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2728"
"Ireland (IE)","02.01.2022 20:00 - 02.01.2022 20:30 (UTC)","n/e","n/e","n/e","194","210","169","n/e","46","n/e","21","0","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2612"
"Ireland (IE)","02.01.2022 20:30 - 02.01.2022 21:00 (UTC)","n/e","n/e","n/e","184","208","165","n/e","46","n/e","20","0","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2557"
"Ireland (IE)","02.01.2022 21:00 - 02.01.2022 21:30 (UTC)","n/e","n/e","n/e","185","208","165","n/e","46","n/e","20","0","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2549"
"Ireland (IE)","02.01.2022 21:30 - 02.01.2022 22:00 (UTC)","n/e","n/e","n/e","183","208","165","n/e","46","n/e","20","0","152","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2510"
"Ireland (IE)","02.01.2022 22:00 - 02.01.2022 22:30 (UTC)","n/e","n/e","n/e","185","208","165","n/e","46","n/e","20","0","154","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2380"
"Ireland (IE)","02.01.2022 22:30 - 02.01.2022 23:00 (UTC)","n/e","n/e","n/e","184","207","165","n/e","46","n/e","20","0","153","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2374"
"Ireland (IE)","02.01.2022 23:00 - 02.01.2022 23:30 (UTC)","n/e","n/e","n/e","184","208","165","n/e","46","n/e","20","0","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2238"
"Ireland (IE)","02.01.2022 23:30 - 03.01.2022 00:00 (UTC)","n/e","n/e","n/e","187","208","165","n/e","50","n/e","20","0","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2071"
"Ireland (IE)","03.01.2022 00:00 - 03.01.2022 00:30 (UTC)","n/e","n/e","n/e","188","209","164","n/e","50","n/e","19","0","156","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1778"
"Ireland (IE)","03.01.2022 00:30 - 03.01.2022 01:00 (UTC)","n/e","n/e","n/e","190","209","166","n/e","50","n/e","0","150","156","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2051"
"Ireland (IE)","03.01.2022 01:00 - 03.01.2022 01:30 (UTC)","n/e","n/e","n/e","185","207","165","n/e","50","n/e","0","225","154","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2013"
"Ireland (IE)","03.01.2022 01:30 - 03.01.2022 02:00 (UTC)","n/e","n/e","n/e","186","208","165","n/e","50","n/e","0","224","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1656"
"Ireland (IE)","03.01.2022 02:00 - 03.01.2022 02:30 (UTC)","n/e","n/e","n/e","209","217","182","n/e","50","n/e","0","293","158","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1647"
"Ireland (IE)","03.01.2022 02:30 - 03.01.2022 03:00 (UTC)","n/e","n/e","n/e","198","212","173","n/e","50","n/e","0","292","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1751"
"Ireland (IE)","03.01.2022 03:00 - 03.01.2022 03:30 (UTC)","n/e","n/e","n/e","206","217","180","n/e","50","n/e","0","290","156","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1754"
"Ireland (IE)","03.01.2022 03:30 - 03.01.2022 04:00 (UTC)","n/e","n/e","n/e","203","216","176","n/e","50","n/e","0","288","156","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1750"
"Ireland (IE)","03.01.2022 04:00 - 03.01.2022 04:30 (UTC)","n/e","n/e","n/e","198","213","172","n/e","50","n/e","0","286","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1665"
"Ireland (IE)","03.01.2022 04:30 - 03.01.2022 05:00 (UTC)","n/e","n/e","n/e","206","217","179","n/e","50","n/e","0","283","158","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1677"
"Ireland (IE)","03.01.2022 05:00 - 03.01.2022 05:30 (UTC)","n/e","n/e","n/e","200","217","176","n/e","50","n/e","0","213","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1802"
