"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Portugal (PT)","23.12.2022 06:00 - 23.12.2022 07:00 (UTC)","357","n/e","n/e","181","0","n/e","n/e","n/e","n/e","874","345","1591","941","n/e","n/e","23","n/e","0","n/e","25","2460"
"Portugal (PT)","23.12.2022 07:00 - 23.12.2022 08:00 (UTC)","365","n/e","n/e","193","0","n/e","n/e","n/e","n/e","1025","246","1762","1020","n/e","n/e","24","n/e","2","n/e","25","2549"
"Portugal (PT)","23.12.2022 08:00 - 23.12.2022 09:00 (UTC)","363","n/e","n/e","196","0","n/e","n/e","n/e","n/e","923","371","1827","1017","n/e","n/e","23","n/e","75","n/e","25","2584"
"Portugal (PT)","23.12.2022 09:00 - 23.12.2022 10:00 (UTC)","360","n/e","n/e","211","0","n/e","n/e","n/e","n/e","774","63","1632","972","n/e","n/e","23","n/e","262","n/e","25","2513"
"Portugal (PT)","23.12.2022 10:00 - 23.12.2022 11:00 (UTC)","354","n/e","n/e","296","0","n/e","n/e","n/e","n/e","336","275","1572","1066","n/e","n/e","23","n/e","439","n/e","25","2476"
"Portugal (PT)","23.12.2022 11:00 - 23.12.2022 12:00 (UTC)","350","n/e","n/e","346","0","n/e","n/e","n/e","n/e","322","513","1578","1093","n/e","n/e","23","n/e","523","n/e","25","2432"
"Portugal (PT)","23.12.2022 12:00 - 23.12.2022 13:00 (UTC)","366","n/e","n/e","346","0","n/e","n/e","n/e","n/e","442","332","1587","958","n/e","n/e","24","n/e","559","n/e","25","2439"
"Portugal (PT)","23.12.2022 13:00 - 23.12.2022 14:00 (UTC)","359","n/e","n/e","330","0","n/e","n/e","n/e","n/e","559","369","1601","922","n/e","n/e","24","n/e","517","n/e","25","2430"
"Portugal (PT)","23.12.2022 14:00 - 23.12.2022 15:00 (UTC)","344","n/e","n/e","474","0","n/e","n/e","n/e","n/e","590","517","1580","920","n/e","n/e","24","n/e","472","n/e","25","2313"
"Portugal (PT)","23.12.2022 15:00 - 23.12.2022 16:00 (UTC)","351","n/e","n/e","567","0","n/e","n/e","n/e","n/e","1158","170","1542","918","n/e","n/e","25","n/e","335","n/e","25","2275"
